1810_MPN105	341
1810_Mfl399	350
1810_PAM596	344
1810_Mcc_s02_2570	350
1810_MG194	341
1810_MHO_1170	313
1810_UU458	333
1810_Magb_s01_5100	321
1810_MMOB3170	329
1810_SPICI04_115	345
1810_MLC_5630	350
1810_Mbovb_s02_6280	321
1810_MYPE9270	341
1810_Marg_s01_3940	312
1810_MHP7448_0273	229
1810_MAGa0720	321
1810_Movi_s01_1030	226
1810_MYPU_3480	314
1810_UUR10_0502	333
1810_Mscc_s05_0030	350
1810_ACL_0249	337
1810_Mccp_s01_4550	350
1810_Mbvg_s01_1500	318
1810_MCAP0383	350
1810_Mcapa_s03_3620	350
1810_Maur_s01_0270	312
1810_PA0532	343
1810_MHR_0544	318
1810_MARTH_orf176	316
1810_Malk_s01_4930	312
1810_MHJ_0265	229
1810_MLEA_001970	350
1810_MCRO_0314	329
1810_MFE_01050	320
1810_Mbova_s01_6530	321
1810_Udiv_s43_0010	336
1810_Mlea_s02_4740	350
1810_MMCAP2_0529	350
1810_UPA3_0477	333
1810_Mscb_s02_0030	350
1810_Myea_s02_2200	350
1810_MGF_3409	338
1810_MCJ_005200	320
1810_MMS_A0653	350
1810_ATP_00080	341
1810_MGAH_1278	338
1810_MBOVPG45_0076	321
1810_MSC_0596	350
1810_mhp106	226
1810_MAG0670	321
1810_MPUT4680	350
1810_MMB_0068	321
1810_AYWB_133	343
1810_MS53_0308	313
1810_Msca_s07_0030	350
1810_Msce_s03_3850	350
1810_MGA_1278	349
1810_Mscd_s05_1320	350
1810_MSB_A0397	350
678_MGA_0212	146
678_MAGa1990	111
678_MLEA_002860	132
678_MMOB0890	122
678_MAG1990	111
678_MCJ_005920	108
678_Msce_s03_4650	132
678_MARTH_orf126	107
678_Mbvg_s01_3500	103
678_Maur_s01_2110	107
678_SPICI20_067	138
678_MYPU_0080	116
678_MMS_A0547	132
678_MMCAP2_0438	132
678_MCRO_0744	106
678_MGAH_0212	146
678_Mscc_s05_0890	132
678_MLC_4780	132
678_UPA3_0281	152
678_Msca_s07_0840	132
678_Udiv_s28_0040	152
678_Malk_s01_2800	107
678_PAM630	153
678_Movi_s01_0250	111
678_Mscd_s05_2100	132
678_MPUT4860	131
678_MYPE3500	145
678_ACL_0012	138
678_MBOVPG45_0644	111
678_MSC_0498	132
678_mhp365	110
678_Mccp_s01_3700	132
678_PA0705	137
678_Mbova_s01_5150	111
678_Mbovb_s02_1370	111
678_MHO_3480	106
678_ATP_00131	139
678_MG132	141
678_Myea_s02_6460	131
678_Mcapa_s03_4500	132
678_MHP7448_0354	110
678_Marg_s01_2320	107
678_UUR10_0269	152
678_MGF_2370	146
678_Mcc_s02_3410	132
678_AYWB_104	155
678_Mfl245	135
678_MHJ_0349	110
678_MSB_A0485	132
678_Magb_s01_6360	111
678_Mlea_s02_3840	132
678_MS53_0173	106
678_MFE_07120	111
678_MMB_0204	111
678_MPN273	144
678_MCAP0472	131
678_MHR_0626	111
678_UU272	152
678_Mscb_s02_0870	132
474_MGF_4565	1286
474_Marg_s01_5240	1488
474_Mbovb_s02_0880	1478
474_PA0664	1354
474_PAM261	1353
474_Mccp_s01_5900	1255
474_MMCAP2_0803	1255
474_Myea_s02_2930	1255
474_Mlea_s02_6180	1255
474_Udiv_s62_0030	1302
474_MGAH_1005	1286
474_Mcapa_s03_2560	1255
474_SPICI01B_074	1250
474_Mfl597	1254
474_ACL_0172	1375
474_MCAP0071	1255
474_Maur_s01_3030	1485
474_MYPU_5450	1426
474_UU188	1305
474_AYWB_460	1353
474_Movi_s01_2780	1411
474_MMS_A1105	1255
474_MG340	1292
474_MHO_2670	1468
474_MPN515	1290
474_Mscc_s06_0830	1255
474_Msce_s03_0860	1255
474_MMB_0655	1478
474_mhp635	1412
474_MAGa6840	1478
474_MHR_0056	1420
474_MSC_1009	1255
474_Magb_s01_2460	1478
474_MPUT6750	1255
474_MSB_A0119	1255
474_Mscd_s11_1320	1255
474_Mbova_s01_0930	1478
474_Mcc_s02_0190	1255
474_MGA_1005	1286
474_MCJ_006830	1413
474_MYPE800	1288
474_MS53_0484	1492
474_MMOB2820	1424
474_ATP_00391	1352
474_MFE_02560	1491
474_Malk_s01_2120	1479
474_Mbvg_s01_0690	1460
474_MCRO_0331b	1476
474_Msca_s04_1180	1255
474_MHJ_0617	1412
474_UUR10_0179	1305
